"accession","pais","lat_lon","lat","lon"
"OR665116","Spain","43.26849 N 3.32897 W",43.26849,-3.32897
"OR665115","Spain","43.26849 N 3.32897 W",43.26849,-3.32897
"OR665114","Spain","43.26849 N 3.32897 W",43.26849,-3.32897
"OR665113","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
"OR665112","Spain","42.97423 N 2.86043 W",42.97423,-2.86043
"OR665111","Spain","42.97423 N 2.86043 W",42.97423,-2.86043
"OR665110","Spain","42.97423 N 2.86043 W",42.97423,-2.86043
"OR665109","Spain","42.97423 N 2.86043 W",42.97423,-2.86043
"OR665108","Spain","42.97423 N 2.86043 W",42.97423,-2.86043
"OR665107","Spain","42.97423 N 2.86043 W",42.97423,-2.86043
"OR665106","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665105","Spain","43.26849 N 3.32897 W",43.26849,-3.32897
"OR665104","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665103","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665102","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665101","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665100","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665099","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665098","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665097","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665096","Spain","42.97975 N 2.4842 W",42.97975,-2.4842
"OR665095","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665094","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665093","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665092","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665091","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665090","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665089","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665088","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665087","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665086","Spain","42.96594 N 1.97569 W",42.96594,-1.97569
"OR665085","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665084","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665083","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665082","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665081","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665080","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665079","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665078","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665077","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665076","Spain","43.05227 N 2.72869 W",43.05227,-2.72869
"OR665075","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
"OR665074","Spain","43.26849 N 3.32897 W",43.26849,-3.32897
"OR665073","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
"OR665072","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
"OR665071","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
"OR665070","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
"OR665069","Spain","43.08361 N 2.65809 W",43.08361,-2.65809
